Genus,RCL,Occurrences
Capsicum,CPRNC,203
Capsicum,CPRYC,94
Capsicum,CTLNC,86
Capsicum,CTLEC,24
Capsicum,CPKNC,14
Capsicum,CTQEC,8
Capsicum,CTREC,7
Capsicum,CTKEC,6
Capsicum,CTQHC,6
Capsicum,CPAIC,5
Capsicum,CPANC,5
Capsicum,CSRNC,5
Capsicum,CIQVC,4
Capsicum,CLQVC,4
Capsicum,CPQFC,3
Capsicum,CPQIC,3
Capsicum,CPRDC,3
Capsicum,CTMEC,3
Capsicum,CLGNC,2
Capsicum,CLQFC,2
Capsicum,CTLDC,2
Capsicum,CTPNC,2
Nicotiana,CPRNC,331
Nicotiana,CTLNC,27
Nicotiana,CPLNC,19
Nicotiana,CPFNC,12
Nicotiana,CTFEC,10
Nicotiana,CPQFC,8
Nicotiana,CTREC,8
Nicotiana,CTTEC,8
Nicotiana,CTRNC,7
Nicotiana,CLQFC,4
Nicotiana,CPRDC,4
Nicotiana,CRRNC,4
Nicotiana,CTKEC,4
Nicotiana,CPPNC,2
Nicotiana,CPQNC,2
Nicotiana,CPRIC,2
Nicotiana,CTFNC,2
Nicotiana,CTIEC,2
Nicotiana,CLQKC,1
Nicotiana,CSFNC,1
Nicotiana,CTQDC,1
Solanum,CPRNC,43
Solanum,CPLNC,36
Solanum,CTLEC,24
Solanum,CSKEC,21
Solanum,CTREC,18
Solanum,CTKEC,16
Solanum,CTFNC,11
Solanum,CTQQC,11
Solanum,CPSYC,6
Solanum,CLQVC,4
Solanum,CLQYC,4
Solanum,CPFNC,4
Solanum,CPKEC,4
Solanum,CPQFC,4
Solanum,CSYEC,4
Solanum,CTFEC,4
Solanum,CTMEC,4
Solanum,CPKNC,3
Solanum,CHLNC,2
Solanum,CPFYC,2
Solanum,CPLFC,2
Solanum,CPLYC,2
Solanum,CPPNC,2
Solanum,CPRIC,2
Solanum,CTQEC,2
Solanum,CIREC,1
Solanum,CTRNC,1
