Organism,DomainOccurrences
Capsicum annuum (Bell pepper),133
Solanum tuberosum (Potato),81
Nicotiana tabacum (Common tobacco),70
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),48
Capsicum chinense (Scotch bonnet) (Bonnet pepper),41
Nicotiana sylvestris (Wood tobacco) (South American tobacco),39
Capsicum baccatum (Peruvian pepper),32
Nicotiana attenuata (Coyote tobacco),28
Nicotiana obtusifolia,14
Nicotiana glutinosa (Tobacco),13
Solanum chacoense (Chaco potato),13
Nicotiana acuminata (Acuminate tobacco),13
Solanum nigrum (Black nightshade),11
Nicotiana occidentalis subsp. hesperis,11
Nicotiana repanda,11
Nicotiana miersii,10
Selaginella moellendorffii (Spikemoss),10
Nicotiana clevelandii (Wild tobacco),10
Nicotiana pauciflora,10
Nicotiana rustica (Aztec tobacco),10
Nicotiana alata (Winged tobacco) (Persian tobacco),10
Nicotiana umbratica,9
Nicotiana spegazzinii,9
Nicotiana megalosiphon,9
Nicotiana linearis,9
Nicotiana simulans,9
Nicotiana quadrivalvis,9
Nicotiana benthamiana,7
Solanum americanum (American black nightshade) (Solanum nodiflorum),7
Rosa chinensis (China rose),5
Coffea canephora (Robusta coffee),5
Quercus suber (Cork oak),3
Solanum phureja,3
Sorghum bicolor (Sorghum) (Sorghum vulgare),3
Dichanthelium oligosanthes,3
Nicotiana corymbosa,3
Nicotiana cavicola,3
Cuscuta australis,3
Leersia perrieri,2
Genlisea aurea,2
Zea mays (Maize),2
Medicago truncatula (Barrel medic) (Medicago tribuloides),2
Panicum hallii var. hallii,2
Manihot esculenta (Cassava) (Jatropha manihot),2
Setaria italica (Foxtail millet) (Panicum italicum),2
Handroanthus impetiginosus,2
Ananas comosus (Pineapple) (Ananas ananas),2
Saccharum hybrid cultivar R570,2
Prunus persica (Peach) (Amygdalus persica),2
Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus),1
Spinacia oleracea (Spinach),1
Panicum hallii,1
Triticum aestivum (Wheat),1
Eucalyptus grandis (Flooded gum),1
Oryza barthii,1
Oryza meridionalis,1
Cicer arietinum (Chickpea) (Garbanzo),1
Apostasia shenzhenica,1
Hordeum vulgare subsp. vulgare (Domesticated barley),1
Olea europaea (Common olive),1
Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),1
Triticum urartu (Red wild einkorn) (Crithodium urartu),1
Parasponia andersonii (Sponia andersonii),1
Brachypodium distachyon (Purple false brome) (Trachynia distachya),1
Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),1
Capsella rubella,1
Arabidopsis thaliana (Mouse-ear cress),1
Mucuna pruriens (Velvet bean) (Dolichos pruriens),1
Fagus sylvatica (Beechnut),1
Oryza brachyantha,1
Juglans regia (English walnut),1
Oryza sativa subsp. indica (Rice),1
Morus notabilis,1
Oryza rufipogon (Brownbeard rice) (Asian wild rice),1
Oryza glumipatula,1
Oryza sativa subsp. japonica (Rice),1
Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa),1
Punica granatum (Pomegranate),1
Prunus yedoensis var. nudiflora,1
Vitis vinifera (Grape),1
Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis),1
Ricinus communis (Castor bean),1
Dorcoceras hygrometricum,1
Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),1
Solanum melongena (Eggplant) (Aubergine),1
Brassica oleracea var. oleracea,1
Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea),1
Oryza glaberrima (African rice),1
Daucus carota subsp. sativus,1
Oryza punctata (Red rice),1
Dendrobium catenatum,1
Jatropha curcas (Barbados nut),1
