RCL,Occurrences in PIN-II PIs,Occurrences in IRDs
CAMYC,6,3
CHLNC,2,2
CHQYC,3,1
CIEIC,1,1
CIETC,1,1
CIQIC,1,1
CIQVC,4,2
CIREC,1,1
CLGNC,2,2
CLQFC,6,2
CLQKC,1,1
CLQVC,8,6
CLQYC,3,2
CNKIC,3,2
CPAIC,5,5
CPANC,5,5
CPDIC,0,1
CPFFC,1,1
CPFNC,16,12
CPFYC,2,2
CPKEC,4,4
CPKNC,17,7
CPLFC,3,3
CPLIC,7,7
CPLNC,55,35
CPLVC,2,2
CPLYC,31,23
CPMYC,1,1
CPPNC,4,4
CPQFC,36,23
CPQIC,5,3
CPQNC,2,2
CPQYC,24,19
CPRDC,7,4
CPRFC,1,1
CPRIC,4,3
CPRNC,576,291
CPRYC,94,18
CPSYC,4,3
CRRNC,4,3
CSFNC,1,1
CSKEC,21,11
CSRNC,5,5
CSYEC,4,2
CTFEC,14,12
CTFKC,1,1
CTFNC,13,7
CTIEC,2,2
CTKEC,26,20
CTLDC,2,2
CTLEC,52,25
CTLNC,113,36
CTMEC,7,5
CTPNC,2,2
CTQDC,1,1
CTQEC,11,10
CTQHC,6,4
CTQQC,10,8
CTREC,34,19
CTRNC,8,7
CTTEC,8,4
CYLIC,1,1
CYLYC,1,1
